Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220uF,C_Elec_8x10.2,140.975000,-134.100000,270.000000,top
C2,22uFMLCC,C_1210_3225Metric,142.925000,-117.400000,0.000000,top
C3,100nF MLCC,C_1206_3216Metric,136.850000,-64.125000,270.000000,top
C4,100nF MLCC,C_1206_3216Metric,136.925000,-87.300000,270.000000,top
C5,1uF,C_Elec_4x5.4,143.375000,-86.400000,270.000000,top
C6,1uF,C_Elec_4x5.4,143.525000,-64.300000,270.000000,top
C7,47uF,C_Elec_6.3x5.8,141.125000,-123.625000,0.000000,top
D1,SMAJ5.0CA,DIONM5026X229N,138.275000,-115.950000,90.000000,top
D3,1N4004,D_SOD-123F,143.225000,-91.775000,0.000000,top
D4,1N4004,D_SOD-123F,143.250000,-70.100000,180.000000,top
F1,1812L110,FUSC4632X125N,138.200000,-148.650000,90.000000,top
Q1,Q_PMOS_GSD,SOT-23-3,138.550000,-109.975000,90.000000,top
R1,510,R_0612_1632Metric,137.925000,-94.650000,90.000000,top
