Ref,Val,Package,PosX,PosY,Rot,Side
"-12v","95278-501A10LF","95278501A10LF",139.450000,-120.525000,270.000000,top
"C2","22uF","C_0805_2012Metric",141.875000,-135.175000,0.000000,top
"C3","100nF","C_0402_1005Metric",135.400000,-64.700000,270.000000,top
"C4","100nF","C_0402_1005Metric",142.975000,-83.525000,90.000000,top
"C5","4.7uF","C_Elec_4x5.4",141.900000,-64.925000,270.000000,top
"C6","4.7uF","C_Elec_4x5.4",136.900000,-83.600000,90.000000,top
"D1","SMAJ5.0CA","DO-214AC-BIPOLAR",137.225000,-132.925000,270.000000,top
"D3","1N4007","D_SOD-123F",142.675000,-58.450000,90.000000,top
"D4","1N4007","D_SOD-123F",137.600000,-89.650000,0.000000,top
"F1","1812L110","Fuse_1812_4532Metric",136.825000,-148.775000,90.000000,top
"FL1","ACP3225-102-2P-T000","ACP3225",141.850000,-131.150000,90.000000,top
"Q1","Q_PMOS_GSD","SOT-23-3",142.075000,-138.825000,180.000000,top
"R1","1.5K","R_0805_2012Metric",136.950000,-92.775000,180.000000,top
